family;line;licenceFor;years;model;description;price
MS;Switches;;;MS220-8-HW;Meraki MS220-8 Cloud Managed 8 Port GigE Switch;985.00;
MS;Switches;;;MS220-8P-HW;Meraki MS220-8P L2 Cloud Managed 8 Port GigE 124W PoE Switch;1255.00;
MS;Switches;;;MS220-24-HW;Meraki MS220-24 L2 Cloud Managed 24 Port GigE Switch;2155.00;
MS;Switches;;;MS220-24P-HW;Meraki MS220-24P L2 Cloud Managed 24 Port GigE 370W PoE Switch;2875.00;
MS;Switches;;;MS220-48-HW;Meraki MS220-48 L2 Cloud Managed 48 Port GigE Switch;3775.00;
MS;Switches;;;MS220-48LP-HW;Meraki MS220-48LP L2 Cloud Managed 48 Port GigE 370W PoE Switch;5035.00;
MS;Switches;;;MS220-48FP-HW;Meraki MS220-48FP L2 Cloud Managed 48 Port GigE 740W PoE Switch;5935.00;
MS;Switches;;;MS320-24-HW;Meraki MS320-24 L3 Cloud Managed 24 Port GigE Switch;5305.00;
MS;Switches;;;MS320-24P-HW;Meraki MS320-24P L3 Cloud Managed 24 Port GigE 370W PoE Switch;5845.00;
MS;Switches;;;MS320-48-HW;Meraki MS320-48 L3 Cloud Managed 48 Port GigE Switch;7825.00;
MS;Switches;;;MS320-48LP-HW;Meraki MS320-48LP L3 Cloud Managed 48 Port GigE 370W PoE Switch;9085.00;
MS;Switches;;;MS320-48FP-HW;Meraki MS320-48FP L3 Cloud Managed 48 Port GigE 740W PoE Switch;9985.00;
MS;Switches;;;MS420-24-HW;Meraki MS420-24 L3 Cloud Managed 24 port SFP+ Aggregation Switch;21595.00;
MS;Switches;;;MS420-48-HW;Meraki MS420-48 L3 Cloud Managed 48 port SFP+ Aggregation Switch;39595.00;
LIC;License;MS220-8;1;LIC-MS220-8-1YR;Meraki MS220-8 Enterprise License and Support. 1 Year;55.00;
LIC;License;MS220-8;3;LIC-MS220-8-3YR;Meraki MS220-8 Enterprise License and Support. 3 Year;110.00;
LIC;License;MS220-8;5;LIC-MS220-8-5YR;Meraki MS220-8 Enterprise License and Support. 5 Year;165.00;
LIC;License;MS220-8;7;LIC-MS220-8-7YR;Meraki MS220-8 Enterprise License and Support. 7 Year;220.00;
LIC;License;MS220-8;10;LIC-MS220-8-10YR;Meraki MS220-8 Enterprise License and Support. 10 Year;275.00;
LIC;License;MS220-8P;1;LIC-MS220-8P-1YR;Meraki MS220-8P Enterprise License and Support. 1 Year;70.00;
LIC;License;MS220-8P;3;LIC-MS220-8P-3YR;Meraki MS220-8P Enterprise License and Support. 3 Year;140.00;
LIC;License;MS220-8P;5;LIC-MS220-8P-5YR;Meraki MS220-8P Enterprise License and Support. 5 Year;210.00;
LIC;License;MS220-8P;7;LIC-MS220-8P-7YR;Meraki MS220-8P Enterprise License and Support. 7 Year;280.00;
LIC;License;MS220-8P;10;LIC-MS220-8P-10YR;Meraki MS220-8P Enterprise License and Support. 10 Year;350.00;
LIC;License;MS220-24;1;LIC-MS220-24-1YR;Meraki MS220-24 Enterprise License and Support. 1 Year;120.00;
LIC;License;MS220-24;3;LIC-MS220-24-3YR;Meraki MS220-24 Enterprise License and Support. 3 Year;240.00;
LIC;License;MS220-24;5;LIC-MS220-24-5YR;Meraki MS220-24 Enterprise License and Support. 5 Year;360.00;
LIC;License;MS220-24;7;LIC-MS220-24-7YR;Meraki MS220-24 Enterprise License and Support. 7 Year;480.00;
LIC;License;MS220-24;10;LIC-MS220-24-10YR;Meraki MS220-24 Enterprise License and Support. 10 Year;600.00;
LIC;License;MS220-24P;1;LIC-MS220-24P-1YR;Meraki MS220-24P Enterprise License and Support. 1 Year;160.00;
LIC;License;MS220-24P;3;LIC-MS220-24P-3YR;Meraki MS220-24P Enterprise License and Support. 3 Year;320.00;
LIC;License;MS220-24P;5;LIC-MS220-24P-5YR;Meraki MS220-24P Enterprise License and Support. 5 Year;480.00;
LIC;License;MS220-24P;7;LIC-MS220-24P-7YR;Meraki MS220-24P Enterprise License and Support. 7 Year;640.00;
LIC;License;MS220-24P;10;LIC-MS220-24P-10YR;Meraki MS220-24P Enterprise License and Support. 10 Year;800.00;
LIC;License;MS220-48;1;LIC-MS220-48-1YR;Meraki MS220-48 Enterprise License and Support. 1 Year;210.00;
LIC;License;MS220-48;3;LIC-MS220-48-3YR;Meraki MS220-48 Enterprise License and Support. 3 Year;420.00;
LIC;License;MS220-48;5;LIC-MS220-48-5YR;Meraki MS220-48 Enterprise License and Support. 5 Year;630.00;
LIC;License;MS220-48;7;LIC-MS220-48-7YR;Meraki MS220-48 Enterprise License and Support. 7 Year;840.00;
LIC;License;MS220-48;10;LIC-MS220-48-10YR;Meraki MS220-48 Enterprise License and Support. 10 Year;1050.00;
LIC;License;MS220-48LP;1;LIC-MS220-48LP-1YR;Meraki MS220-48LP Enterprise License and Support. 1 Year;280.00;
LIC;License;MS220-48LP;3;LIC-MS220-48LP-3YR;Meraki MS220-48LP Enterprise License and Support. 3 Year;560.00;
LIC;License;MS220-48LP;5;LIC-MS220-48LP-5YR;Meraki MS220-48LP Enterprise License and Support. 5 Year;840.00;
LIC;License;MS220-48LP;7;LIC-MS220-48LP-7YR;Meraki MS220-48LP Enterprise License and Support. 7 Year;1120.00;
LIC;License;;10;LIC-MS220-48LP-10Y;Meraki MS220-48LP Enterprise License and Support. 10 Year;1400.00;
LIC;License;MS220-48FP;1;LIC-MS220-48FP-1YR;Meraki MS220-48FP Enterprise License and Support. 1 Year;330.00;
LIC;License;MS220-48FP;3;LIC-MS220-48FP-3YR;Meraki MS220-48FP Enterprise License and Support. 3 Year;660.00;
LIC;License;MS220-48FP;5;LIC-MS220-48FP-5YR;Meraki MS220-48FP Enterprise License and Support. 5 Year;990.00;
LIC;License;MS220-48FP;7;LIC-MS220-48FP-7YR;Meraki MS220-48FP Enterprise License and Support. 7 Year;1320.00;
LIC;License;;10;LIC-MS220-48FP-10Y;Meraki MS220-48FP Enterprise License and Support. 10 Year;1650.00;
LIC;License;MS320-24;1;LIC-MS320-24-1YR;Meraki MS320-24 Enterprise License and Support. 1 Year;295.00;
LIC;License;MS320-24;3;LIC-MS320-24-3YR;Meraki MS320-24 Enterprise License and Support. 3 Year;590.00;
LIC;License;MS320-24;5;LIC-MS320-24-5YR;Meraki MS320-24 Enterprise License and Support. 5 Year;885.00;
LIC;License;MS320-24;7;LIC-MS320-24-7YR;Meraki MS320-24 Enterprise License and Support. 7 Year;1180.00;
LIC;License;MS320-24;10;LIC-MS320-24-10YR;Meraki MS320-24 Enterprise License and Support. 10 Year;1475.00;
LIC;License;MS320-24P;1;LIC-MS320-24P-1YR;Meraki MS320-24P Enterprise License and Support. 1 Year;325.00;
LIC;License;MS320-24P;3;LIC-MS320-24P-3YR;Meraki MS320-24P Enterprise License and Support. 3 Year;650.00;
LIC;License;MS320-24P;5;LIC-MS320-24P-5YR;Meraki MS320-24P Enterprise License and Support. 5 Year;975.00;
